mode,mu,sigma,mean_u,ppl_var,ppl_max,corrected_state,text_snippet
wild,0.4,0.01,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.4,0.015,0.5010300000000001,868601124169.385,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.4,0.02,0.5010300000000001,868601124215.1115,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.4,0.025,0.5010300000000001,868601126503.2377,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.4,0.03,0.5010300000000001,868601153977.5977,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.4,0.035,0.5010300000000001,868601203061.2341,8388608.000000002,3c,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.4,0.04,0.50152875,889054003363.1898,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.4,0.045,0.5017787499999999,868594473357.4026,8388608.000000002,1,the secret to a delicious meal. It comes down to one word: balance. This is a vital concept to the N...
wild,0.4,0.05,0.50333125,6409.595038334554,518.0711462450591,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.4,0.055,0.50333125,6794.394063512191,531.4627470856564,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the  Philadelphia  ..."
wild,0.4,0.06,0.5031475000000001,984884.7039295132,8895.660657476134,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.4,0.065,0.5031475000000001,821029.628504491,8112.77369439071,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.4,0.07,0.5035675,707006.4524884217,7523.415246636765,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.4,0.075,0.5035675,614859.2937364429,7008.026733500416,2,"the secret to good sex  the secret to good sex A few months ago, a reporter from the New York Times ..."
wild,0.4,0.08,0.49114,23249660.354320336,43240.24742268042,1,the secret to good sex: it’s all about communication. I encourage my patients and my own family to t...
wild,0.4,0.085,0.4925,24187834.198483147,44150.5684210526,1,the secret to good sex: it’s all about communication. I encourage my patients and my own family to t...
wild,0.4,0.09,0.5006375000000001,136415.4864158475,2262.299892125136,2,"the secret to good sex  the secret to good sex A few months ago, I wrote an article for the Huffingt..."
