mode,mu,sigma,mean_u,ppl_var,ppl_max,corrected_state,text_snippet
wild,0.4,0.01,0.5129349999999999,33300298.50328532,51941.845201238364,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged ions an..."
wild,0.4,0.015,0.5129349999999999,33300298.50328532,51941.845201238364,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged ions an..."
wild,0.4,0.02,0.5129349999999999,33300298.50328532,51941.845201238364,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged ions an..."
wild,0.4,0.025,0.5129349999999999,33300501.239802074,51941.845201238364,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged ions an..."
wild,0.4,0.03,0.5104075,33247136.297301132,51941.845201238364,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged ions an..."
wild,0.4,0.035,0.5104075,33247690.34573888,51941.845201238364,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged ions an..."
wild,0.4,0.04,0.5104075,33247898.599998403,51941.845201238364,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged ions an..."
wild,0.4,0.045,0.5107812500000001,44069940.7711326,52265.470404984444,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged ions an..."
wild,0.4,0.05,0.51133625,42994962.81578871,52265.470404984444,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged ions an..."
wild,0.4,0.055,0.5132524999999999,70992223486.00653,2396745.142857143,3b,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged atoms a..."
wild,0.4,0.06,0.5180412500000001,33267559.192135226,51941.845201238364,1,"clockwork—a complex network of neural connections orchestrated by neurotransmitters, charged atoms a..."
wild,0.4,0.065,0.5081075,34740324925.22308,1677721.5999999987,1,"the architecture of computers: networks of neurons are connected together into networks of networks,..."
wild,0.4,0.07,0.5094675,34740184168.10708,1677721.5999999987,1,"the architecture of computers: networks of neurons are connected together into networks of networks,..."
wild,0.4,0.075,0.511455,2680358677.9970226,466033.7777777776,1,"the architecture of a computer. Like computers, brains receive inputs, process them, and generate ou..."
wild,0.4,0.08,0.50985875,19794.382727625984,909.4327840416306,1,"the architecture of a computer. Like computers, brains receive inputs, process them, and generate ou..."
wild,0.4,0.085,0.5103937500000001,68940.49317841184,1812.5773552290402,1,"the architecture of a computer. Like computers, brains receive inputs, process them, and generate ou..."
wild,0.4,0.09,0.51622375,6214.744102658782,609.9918557300757,1,"the architecture of a computer. Like computers, the human brain has a central processing unit (CPU) ..."
wild,0.4,0.095,0.5149999999999999,102661.16075416752,2714.759870550161,1,"the architecture of a computer. Like a computer, the human brain consists of a series of components ..."
